Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,2010-02-05,"16,43,691",0,42,2.6,211,8
1,2010-02-12,"16,41,957",1,39,2.5,211,8
1,2010-02-19,"16,11,968",0,40,2.5,211,8
1,2010-02-26,"14,09,728",0,47,2.6,211,8
1,2010-03-05,"15,54,807",0,47,2.6,211,8
1,2010-03-12,"14,39,542",0,58,2.7,211,8
1,2010-03-19,"14,72,516",0,55,2.7,211,8
1,2010-03-26,"14,04,430",0,51,2.7,211,8
1,2010-04-02,"15,94,968",0,62,2.7,211,8
1,2010-04-09,"15,45,419",0,66,2.8,211,8
1,2010-04-16,"14,66,058",0,66,2.8,210,8
1,2010-04-23,"13,91,256",0,65,2.8,210,8
1,2010-04-30,"14,25,101",0,67,2.8,210,8
1,2010-05-07,"16,03,955",0,73,2.8,210,8
1,2010-05-14,"14,94,252",0,75,2.9,210,8
1,2010-05-21,"13,99,662",0,76,2.8,211,8
1,2010-05-28,"14,32,070",0,80,2.8,211,8
1,2010-06-04,"16,15,525",0,81,2.7,211,8
1,2010-06-11,"15,42,561",0,80,2.7,211,8
1,2010-06-18,"15,03,284",0,84,2.6,211,8
1,2010-06-25,"14,22,712",0,84,2.7,211,8
1,2010-07-02,"14,92,418",0,81,2.7,211,8
1,2010-07-09,"15,46,074",0,80,2.6,211,8
1,2010-07-16,"14,48,939",0,83,2.6,211,8
1,2010-07-23,"13,85,065",0,83,2.6,211,8
1,2010-07-30,"13,71,987",0,82,2.6,211,8
1,2010-08-06,"16,05,492",0,87,2.6,212,8
1,2010-08-13,"15,08,238",0,87,2.7,212,8
1,2010-08-20,"15,13,080",0,87,2.7,212,8
1,2010-08-27,"14,49,143",0,85,2.6,212,8
1,2010-09-03,"15,40,164",0,81,2.6,212,8
1,2010-09-10,"15,07,461",1,79,2.6,211,8
1,2010-09-17,"14,30,379",0,82,2.6,212,8
1,2010-09-24,"13,51,791",0,81,2.6,212,8
1,2010-10-01,"14,53,330",0,72,2.6,212,8
1,2010-10-08,"15,08,240",0,64,2.6,212,8
1,2010-10-15,"14,59,409",0,67,2.7,212,8
1,2010-10-22,"13,45,454",0,70,2.7,212,8
1,2010-10-29,"13,84,209",0,70,2.7,212,8
1,2010-11-05,"15,51,659",0,59,2.7,212,8
1,2010-11-12,"14,94,479",0,60,2.7,212,8
1,2010-11-19,"14,83,784",0,51,2.8,212,8
1,2010-11-26,"19,55,624",1,65,2.7,212,8
1,2010-12-03,"15,48,034",0,49,2.7,212,8
1,2010-12-10,"16,82,614",0,46,2.8,211,8
1,2010-12-17,"18,91,035",0,50,2.9,211,8
1,2010-12-24,"23,87,950",0,52,2.9,211,8
1,2010-12-31,"13,67,320",1,48,2.9,211,8
1,2011-01-07,"14,44,732",0,48,3,211,8
1,2011-01-14,"13,91,014",0,35,3,211,8
1,2011-01-21,"13,27,405",0,44,3,212,8
1,2011-01-28,"13,16,899",0,44,3,212,8
1,2011-02-04,"16,06,630",0,42,3,213,8
1,2011-02-11,"16,49,615",1,36,3,213,8
1,2011-02-18,"16,86,843",0,57,3,213,8
1,2011-02-25,"14,56,800",0,63,3.1,214,8
1,2011-03-04,"16,36,263",0,60,3.3,214,8
1,2011-03-11,"15,53,192",0,54,3.5,214,8
1,2011-03-18,"15,76,818",0,63,3.5,214,8
1,2011-03-25,"15,41,102",0,70,3.5,215,8
1,2011-04-01,"14,95,065",0,59,3.5,215,8
1,2011-04-08,"16,14,259",0,68,3.6,215,8
1,2011-04-15,"15,59,889",0,71,3.7,215,8
1,2011-04-22,"15,64,820",0,73,3.8,215,8
1,2011-04-29,"14,55,091",0,72,3.8,216,8
1,2011-05-06,"16,29,391",0,65,3.9,216,8
1,2011-05-13,"16,04,776",0,76,3.9,216,8
1,2011-05-20,"14,28,218",0,68,3.9,216,8
1,2011-05-27,"14,66,047",0,78,3.8,216,8
1,2011-06-03,"16,35,078",0,83,3.7,215,8
1,2011-06-10,"15,88,948",0,83,3.6,215,8
1,2011-06-17,"15,32,115",0,86,3.6,215,8
1,2011-06-24,"14,38,830",0,84,3.6,215,8
1,2011-07-01,"14,88,538",0,86,3.5,215,8
1,2011-07-08,"15,34,850",0,86,3.5,215,8
1,2011-07-15,"14,55,120",0,89,3.6,215,8
1,2011-07-22,"13,96,927",0,86,3.7,215,8
1,2011-07-29,"13,52,220",0,87,3.7,215,8
1,2011-08-05,"16,24,384",0,92,3.7,216,8
1,2011-08-12,"15,25,147",0,91,3.6,216,8
1,2011-08-19,"15,30,761",0,90,3.6,216,8
1,2011-08-26,"14,64,693",0,88,3.5,216,8
1,2011-09-02,"15,50,229",0,88,3.5,216,8
1,2011-09-09,"15,40,471",1,76,3.5,216,8
1,2011-09-16,"15,14,260",0,80,3.5,216,8
1,2011-09-23,"13,80,020",0,76,3.5,216,8
1,2011-09-30,"13,94,562",0,80,3.4,217,8
1,2011-10-07,"16,30,990",0,69,3.3,217,8
1,2011-10-14,"14,93,526",0,72,3.3,217,8
1,2011-10-21,"15,02,563",0,64,3.4,218,8
1,2011-10-28,"14,45,249",0,67,3.4,218,8
1,2011-11-04,"16,97,230",0,55,3.3,218,8
1,2011-11-11,"15,94,939",0,59,3.3,218,8
1,2011-11-18,"15,39,484",0,62,3.3,218,8
1,2011-11-25,"20,33,321",1,60,3.2,218,8
1,2011-12-02,"15,84,084",0,49,3.2,219,8
1,2011-12-09,"17,99,682",0,44,3.2,219,8
1,2011-12-16,"18,81,177",0,52,3.2,219,8
1,2011-12-23,"22,70,189",0,48,3.1,219,8
1,2011-12-30,"14,97,463",1,45,3.1,220,8
1,2012-01-06,"15,50,370",0,49,3.2,220,7
1,2012-01-13,"14,59,601",0,49,3.3,220,7
1,2012-01-20,"13,94,394",0,54,3.3,220,7
1,2012-01-27,"13,19,326",0,54,3.3,220,7
1,2012-02-03,"16,36,340",0,57,3.4,220,7
1,2012-02-10,"18,02,477",1,48,3.4,220,7
1,2012-02-17,"18,19,870",0,45,3.5,220,7
1,2012-02-24,"15,39,388",0,57,3.6,221,7
1,2012-03-02,"16,88,421",0,61,3.6,221,7
1,2012-03-09,"16,75,431",0,59,3.7,221,7
1,2012-03-16,"16,77,473",0,65,3.7,221,7
1,2012-03-23,"15,11,068",0,66,3.8,221,7
1,2012-03-30,"16,49,605",0,68,3.8,221,7
1,2012-04-06,"18,99,677",0,70,3.9,221,7
1,2012-04-13,"16,21,032",0,69,3.9,222,7
1,2012-04-20,"15,21,578",0,67,3.9,222,7
1,2012-04-27,"14,68,928",0,67,3.8,222,7
1,2012-05-04,"16,84,520",0,76,3.7,222,7
1,2012-05-11,"16,11,096",0,74,3.7,222,7
1,2012-05-18,"15,95,902",0,70,3.6,222,7
